site,ID,Year,CEC,clay,bulkdens,soil_type,SOC,pH,PS,dep,irr,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario,Cd_solu,Cd_rice,Cd_straw,crop,res_in,lea,Cd_acc
QY031,QY031,2030,89.17338403,7.018336667,1250,Non-calcareous,2.30396,3.757096,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.289418594,11.00850668,10.82136207,0.84,0,BAU,3.897050703,0.88403912,2.549596673,14.14636796,23.17569134,35.4631614,-37.56877246
QY031,QY031,2031,89.17338403,7.018336667,1250,Non-calcareous,2.30952,3.756128,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.274391085,11.00850668,10.82136207,0.84,0,BAU,3.682316456,0.839984265,2.422541082,13.44140346,22.02076311,33.50907975,-34.90972632
QY031,QY031,2032,89.17338403,7.018336667,1250,Non-calcareous,2.315,3.755248,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.260427195,11.00850668,10.82136207,0.84,0,BAU,3.483040428,0.798905927,2.304069862,12.78406911,20.94386634,31.69566789,-32.43898011
QY031,QY031,2033,89.17338403,7.018336667,1250,Non-calcareous,2.32036,3.754544,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.247451603,11.00850668,10.82136207,0.84,0,BAU,3.297731931,0.760565294,2.193494269,12.17054343,19.93874038,30.00936057,-30.13914711
QY031,QY031,2034,89.17338403,7.018336667,1250,Non-calcareous,2.3256,3.753752,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.235395944,11.00850668,10.82136207,0.84,0,BAU,3.126679064,0.724939438,2.090748176,11.60045952,19.00478413,28.45277948,-28.01248211
QY031,QY031,2035,89.17338403,7.018336667,1250,Non-calcareous,2.33076,3.753136,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.224190951,11.00850668,10.82136207,0.84,0,BAU,2.967452272,0.691663898,1.994780473,11.06798533,18.13244307,27.00381568,-26.03104411
QY031,QY031,2036,89.17338403,7.018336667,1250,Non-calcareous,2.33584,3.752432,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.213778533,11.00850668,10.82136207,0.84,0,BAU,2.820380869,0.660730127,1.905566502,10.57298403,17.32149306,25.66546591,-24.19769304
QY031,QY031,2037,89.17338403,7.018336667,1250,Non-calcareous,2.3408,3.751816,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.204099456,11.00850668,10.82136207,0.84,0,BAU,2.683823649,0.631888144,1.822385314,10.11145547,16.5653807,24.42279521,-22.49349378
QY031,QY031,2038,89.17338403,7.018336667,1250,Non-calcareous,2.34568,3.751288,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.195102059,11.00850668,10.82136207,0.84,0,BAU,2.556955023,0.604984367,1.744793974,9.680942023,15.86007976,23.26829071,-20.90847584
QY031,QY031,2039,89.17338403,7.018336667,1250,Non-calcareous,2.35048,3.750672,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.186738668,11.00850668,10.82136207,0.84,0,BAU,2.439728957,0.579971653,1.672656519,9.280689307,15.20435432,22.20153351,-19.44146592
QY031,QY031,2040,89.17338403,7.018336667,1250,Non-calcareous,2.3552,3.750144,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.178962082,11.00850668,10.82136207,0.84,0,BAU,2.330747238,0.556631959,1.605344106,8.907208211,14.59248825,21.20979987,-18.07625119
QY031,QY031,2041,89.17338403,7.018336667,1250,Non-calcareous,2.35984,3.749616,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.171731582,11.00850668,10.82136207,0.84,0,BAU,2.229718785,0.534892278,1.542646182,8.559330482,14.02256762,20.29044094,-16.80901453
QY031,QY031,2042,89.17338403,7.018336667,1250,Non-calcareous,2.36436,3.749176,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.165007976,11.00850668,10.82136207,0.84,0,BAU,2.135803541,0.514614574,1.484164642,8.234847246,13.49097369,19.43581222,-15.62990258
QY031,QY031,2043,89.17338403,7.018336667,1250,Non-calcareous,2.36884,3.748736,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.158756015,11.00850668,10.82136207,0.84,0,BAU,2.048670268,0.495716307,1.429661446,7.93243774,12.99554268,18.64289944,-14.53458028
