"ID","Year","soil_type","Variable","Simulation","value","diff","outlier"
"QY284","2014","Calcareous","Soil Cd",0.182134830265251,0.19059143,0.00845659973474905,0
"QY284","2019","Calcareous","SOC",2.72307972,3.226310433,0.503230713,0
"QY284","2019","Calcareous","Soil Cd",0.194407803229235,0.408390807,0.213983003770765,0
"QY285","2014","Calcareous","SOC",2.816016216,1.819851532,0.996164684,0
"QY285","2014","Calcareous","Soil Cd",0.387822640153968,0.599553878,0.211731237846033,0
"QY285","2019","Calcareous","SOC",2.752357681,3.130258758,0.377901077,0
"QY285","2019","Calcareous","Soil Cd",0.401118941091477,0.570250177,0.169131235908523,0
"QY291","2014","Non-calcareous","pH",5.489112,6.76,1.270888,0
"QY291","2014","Non-calcareous","SOC",2.09092,2.411276147,0.320356147,0
"QY291","2014","Non-calcareous","Soil Cd",0.286443235741319,0.578151149,0.291707913258681,0
"QY291","2019","Non-calcareous","pH",5.431736,5.4,0.0317359999999995,0
"QY291","2019","Non-calcareous","SOC",2.15928,1.710514768,0.448765232,0
"QY291","2019","Non-calcareous","Soil Cd",0.287165965706258,0.502767917,0.215601951293742,0
"QY293","2014","Calcareous","SOC",2.313442037,1.976356653,0.337085384,0
"QY293","2014","Calcareous","Soil Cd",0.228979264136911,0.282320962,0.0533416978630894,0
"QY293","2019","Calcareous","SOC",2.276594211,2.495926891,0.21933268,0
"QY293","2019","Calcareous","Soil Cd",0.241687758070495,0.483516975,0.241829216929505,0
"QY295","2014","Calcareous","SOC",2.635664485,1.950821607,0.684842878,0
"QY295","2014","Calcareous","Soil Cd",0.198494675908811,0.247613339,0.0491186630911887,0
"QY295","2019","Calcareous","SOC",2.546518918,3.105596566,0.559077648,0
"QY295","2019","Calcareous","Soil Cd",0.209492422408346,0.378119355,0.168626932591654,0
"QY296","2014","Non-calcareous","pH",5.95912,6.14,0.180879999999999,0
"QY296","2014","Non-calcareous","SOC",1.910507253,1.628750542,0.281756711,0
"QY296","2014","Non-calcareous","Soil Cd",0.286597870926497,0.471160242,0.184562371073503,0
"QY296","2019","Non-calcareous","pH",5.905352,5.54,0.365352,0
"QY296","2019","Non-calcareous","SOC",1.978152181,1.536399408,0.441752773,0
