"ID","scenario","Cd_input_g_ha_yr","source"
"QY236","BNPRLopt1",2.15531410431586,"deposition"
"QY236","BNPRLopt2",1.86081410431586,"deposition"
"QY246","BAU",2.830694914,"deposition"
"QY246","BNP",2.830694914,"deposition"
"QY246","BNPR",2.830694914,"deposition"
"QY246","BNPRLopt1",2.830694914,"deposition"
"QY246","BNPRLopt2",1.99301874926455,"deposition"
"QY248","BAU",2.128945351,"deposition"
"QY248","BNP",2.128945351,"deposition"
"QY248","BNPR",2.128945351,"deposition"
"QY248","BNPRLopt1",2.128945351,"deposition"
"QY248","BNPRLopt2",1.95448483316003,"deposition"
"QY264","BAU",5.529391289,"deposition"
"QY264","BNP",5.529391289,"deposition"
"QY264","BNPR",5.529391289,"deposition"
"QY264","BNPRLopt1",3.44512606094291,"deposition"
"QY264","BNPRLopt2",2.88712606094292,"deposition"
"QY267","BAU",3.190342426,"deposition"
"QY267","BNP",3.190342426,"deposition"
"QY267","BNPR",3.190342426,"deposition"
"QY267","BNPRLopt1",3.190342426,"deposition"
"QY267","BNPRLopt2",0.85418547399644,"deposition"
"QY270","BAU",3.32204628,"deposition"
"QY270","BNP",3.32204628,"deposition"
"QY270","BNPR",3.32204628,"deposition"
"QY270","BNPRLopt1",1.88530176583964,"deposition"
"QY270","BNPRLopt2",0.000501765839642,"deposition"
"QY274","BAU",3.305774689,"deposition"
"QY274","BNP",3.305774689,"deposition"
"QY274","BNPR",3.305774689,"deposition"
"QY274","BNPRLopt1",3.305774689,"deposition"
"QY274","BNPRLopt2",3.305774689,"deposition"
"QY278","BAU",3.033854961,"deposition"
"QY278","BNP",3.033854961,"deposition"
"QY278","BNPR",3.033854961,"deposition"
"QY278","BNPRLopt1",3.033854961,"deposition"
"QY278","BNPRLopt2",2.1585425200216,"deposition"
"QY284","BAU",3.242710829,"deposition"
"QY284","BNP",3.242710829,"deposition"
"QY284","BNPR",3.242710829,"deposition"
"QY284","BNPRLopt1",3.242710829,"deposition"
"QY284","BNPRLopt2",2.87360897156054,"deposition"
"QY285","BAU",3.275354624,"deposition"
"QY285","BNP",3.275354624,"deposition"
"QY285","BNPR",3.275354624,"deposition"
"QY285","BNPRLopt1",3.275354624,"deposition"
"QY285","BNPRLopt2",1.71292604860853,"deposition"
"QY291","BAU",4.54736948,"deposition"
"QY291","BNP",4.54736948,"deposition"
"QY291","BNPR",4.54736948,"deposition"
"QY291","BNPRLopt1",2.21031024462731,"deposition"
"QY291","BNPRLopt2",0,"deposition"
"QY293","BAU",3.558572054,"deposition"
"QY293","BNP",3.558572054,"deposition"
"QY293","BNPR",3.558572054,"deposition"
"QY293","BNPRLopt1",3.558572054,"deposition"
"QY293","BNPRLopt2",3.558572054,"deposition"
"QY295","BAU",3.269914865,"deposition"
"QY295","BNP",3.269914865,"deposition"
"QY295","BNPR",3.269914865,"deposition"
"QY295","BNPRLopt1",3.21516620014706,"deposition"
"QY295","BNPRLopt2",3.21516620014706,"deposition"
"QY296","BAU",3.302062273,"deposition"
"QY296","BNP",3.302062273,"deposition"
"QY296","BNPR",3.302062273,"deposition"
"QY296","BNPRLopt1",3.302062273,"deposition"
"QY296","BNPRLopt2",2.4251046118809,"deposition"
"QY297","BAU",3.201862574,"deposition"
"QY297","BNP",3.201862574,"deposition"
"QY297","BNPR",3.201862574,"deposition"
"QY297","BNPRLopt1",3.201862574,"deposition"
"QY297","BNPRLopt2",2.9100554724958,"deposition"
"QY299","BAU",2.237344503,"deposition"
"QY299","BNP",2.237344503,"deposition"
"QY299","BNPR",2.237344503,"deposition"
"QY299","BNPRLopt1",2.237344503,"deposition"
"QY299","BNPRLopt2",2.237344503,"deposition"
"QY308","BAU",3.489558458,"deposition"
"QY308","BNP",3.489558458,"deposition"
"QY308","BNPR",3.489558458,"deposition"
"QY308","BNPRLopt1",1.88592564435964,"deposition"
"QY308","BNPRLopt2",0,"deposition"
"QY310","BAU",3.724695683,"deposition"
"QY310","BNP",3.724695683,"deposition"
"QY310","BNPR",3.724695683,"deposition"
"QY310","BNPRLopt1",2.70086307252423,"deposition"
"QY310","BNPRLopt2",0.285963072524233,"deposition"
