Data to derive cadmium regression model.,,,,,,,,,,
Unit:,,,,mg/kg,mg/kg,mg/kg,mg/L,g/kg,%,
X,Y,land_use,pH,SoilCdtot,RiceCd,StrawCd,SoilCdavi,OC,Clay,source
112.1041667,26.54722222,Paddy,5.3,0.3244878,0.011,0.046,0.06918,13.509,7.034,mea_clay
112.0797222,26.31416667,Paddy,4.8,0.3454155,0.372,1.039,0.14173,17.247,7.018,mea_clay
111.9336111,26.56361111,Paddy,7.17,0.5314395,0.018,0.019,0.00049,27.326,6.99,mea_clay
111.8338889,26.7025,Paddy,6.85,0.8182265,NA,NA,0.00653,28.769,6.883,mea_clay
112.1825,26.53083333,Paddy,6.9,0.3206123,NA,NA,0.00202,11.464,6.65,mea_clay
111.8977778,26.63,Paddy,6.6,0.3430902,0.979,1.194,0.01253,19.723,6.409,mea_clay
111.9719444,26.41055556,Paddy,7.2,0.5345399,0.058,0.118,0.00532,20.346,5.115,mea_clay
111.9077778,26.38416667,Paddy,5.23,0.5050861,3.694,16.519,0.21511,19.7975,5.048,mea_clay
111.9675,26.30861111,Paddy,4.49,0.4407528,3.537,1.497,0.3338,13.9985,4.618,mea_clay
111.9788889,26.43305556,Paddy,5.1,0.6500298,0.166,0.705,0.25768,12.416,3.969,mea_clay
111.8922222,26.74833333,Paddy,5.4,0.5027608,NA,NA,0.1108,17.105,3.745,mea_clay
