site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario
QY024,QY024,2048,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.5724,6.693832,0.91,0.496447491,0,0.383162677,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2049,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.57836,6.693744,0.91,0.496447491,0,0.385193825,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2050,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.58416,6.693744,0.91,0.496447491,0,0.387223118,12.7021231,12.486187,0.84,0,BAU
QY031,QY031,2020,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.24032,4.330416,0.91,1.440890661,3.734775373,0.424213283,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2021,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.2476,4.220064,0.91,1.440890661,3.734775373,0.414711152,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2022,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.2546,4.08912,0.91,1.440890661,3.734775373,0.403512267,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2023,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.26136,3.951224,0.91,1.440890661,3.734775373,0.3899958,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2024,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.26792,3.848352,0.91,1.440890661,3.734775373,0.373734535,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2025,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.27428,3.795992,0.91,1.440890661,3.734775373,0.355548988,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2026,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.28048,3.773904,0.91,1.440890661,3.734775373,0.337018046,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2027,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.28656,3.764664,0.91,1.440890661,3.734775373,0.319135916,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2028,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.29248,3.760528,0.91,1.440890661,3.734775373,0.302272994,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2029,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.29828,3.758416,0.91,1.440890661,3.734775373,0.286514806,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2030,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.30396,3.757096,0.91,1.440890661,3.734775373,0.271840691,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2031,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.30952,3.756128,0.91,1.440890661,3.734775373,0.258193333,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2032,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.315,3.755248,0.91,1.440890661,3.734775373,0.245506607,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2033,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.32036,3.754544,0.91,1.440890661,3.734775373,0.233712817,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2034,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.3256,3.753752,0.91,1.440890661,3.734775373,0.222750558,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2035,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.33076,3.753136,0.91,1.440890661,3.734775373,0.212557416,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2036,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.33584,3.752432,0.91,1.440890661,3.734775373,0.203081222,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2037,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.3408,3.751816,0.91,1.440890661,3.734775373,0.19426858,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2038,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.34568,3.751288,0.91,1.440890661,3.734775373,0.186073013,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2039,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.35048,3.750672,0.91,1.440890661,3.734775373,0.178451633,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2040,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.3552,3.750144,0.91,1.440890661,3.734775373,0.171361847,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2041,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.35984,3.749616,0.91,1.440890661,3.734775373,0.164767013,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2042,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.36436,3.749176,0.91,1.440890661,3.734775373,0.158631795,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2043,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.36884,3.748736,0.91,1.440890661,3.734775373,0.152924447,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2044,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.3732,3.748296,0.91,1.440890661,3.734775373,0.14761474,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2045,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.37752,3.747856,0.91,1.440890661,3.734775373,0.142674225,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2046,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.38172,3.747416,0.91,1.440890661,3.734775373,0.138076972,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2047,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.38588,3.747064,0.91,1.440890661,3.734775373,0.133798532,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2048,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.38996,3.746712,0.91,1.440890661,3.734775373,0.129817642,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2049,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.39396,3.74636,0.91,1.440890661,3.734775373,0.12611332,11.00850668,10.82136207,0.84,0,BAU
QY031,QY031,2050,5.714715481,1.15037538,89.17338403,7.018336667,1250,Non-calcareous,2.39788,3.746096,0.91,1.440890661,3.734775373,0.122666106,11.00850668,10.82136207,0.84,0,BAU
QY040,QY040,2020,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.324184429,6.70404,0.91,0.378949618,0,0.362990205,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2021,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.325638329,6.703952,0.91,0.378949618,0,0.366417724,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2022,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.326914925,6.703864,0.91,0.378949618,0,0.369835929,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2023,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.328014216,6.703864,0.91,0.378949618,0,0.373244678,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2024,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.329007124,6.703776,0.91,0.378949618,0,0.376643933,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2025,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.329929109,6.703776,0.91,0.378949618,0,0.380033516,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2026,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.330780173,6.703688,0.91,0.378949618,0,0.383413507,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2027,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.331595776,6.703688,0.91,0.378949618,0,0.386783761,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2028,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.332375918,6.7036,0.91,0.378949618,0,0.390144399,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2029,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.333085138,6.7036,0.91,0.378949618,0,0.393495313,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2030,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.333794358,6.703512,0.91,0.378949618,0,0.396836581,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2031,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.334468117,6.703512,0.91,0.378949618,0,0.400168132,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2032,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.335106415,6.703512,0.91,0.378949618,0,0.403490086,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2033,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.335744712,6.703424,0.91,0.378949618,0,0.406802445,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2034,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.33638301,6.703424,0.91,0.378949618,0,0.410105135,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2035,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.336985847,6.703336,0.91,0.378949618,0,0.413398319,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2036,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.337588684,6.703336,0.91,0.378949618,0,0.416681877,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2037,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.338191521,6.703336,0.91,0.378949618,0,0.419955972,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2038,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.338758897,6.703248,0.91,0.378949618,0,0.423220647,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2039,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.339290812,6.703248,0.91,0.378949618,0,0.426475777,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2040,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.339858188,6.70316,0.91,0.378949618,0,0.429721482,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2041,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.340390103,6.70316,0.91,0.378949618,0,0.432957724,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2042,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.340922018,6.70316,0.91,0.378949618,0,0.436184624,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2043,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.341453932,6.703072,0.91,0.378949618,0,0.439402223,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2044,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.341950386,6.703072,0.91,0.378949618,0,0.442610433,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2045,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.34244684,6.702984,0.91,0.378949618,0,0.445809377,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2046,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.342943294,6.702984,0.91,0.378949618,0,0.448998965,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2047,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.343439748,6.702984,0.91,0.378949618,0,0.452179365,7.621273858,7.491712203,0.84,0,BAU
QY040,QY040,2048,11.55922318,1.105497263,84.58453739,6.649873333,1409.999967,Calcareous,1.343900741,6.702896,0.91,0.378949618,0,0.455350617,7.621273858,7.491712203,0.84,0,BAU
