"ID","scenario","soil_type","variable","value"
"QY076","BNPR","Calcareous","total input",7.892230556
"QY076","BNPL","Calcareous","total input",6.217435931
"QY076","BNPRLopt","Calcareous","total input",5.139031379
"QY076","BNPRLopt(dep)","Calcareous","total input",5.139031379
"QY076","Critical input","Calcareous","total input",5.44194350688719
"QY076","Critical input","Calcareous","critical input",5.44194350688719
"QY077","BAU","Non-calcareous","deposition",4.514650345
"QY077","BNP","Non-calcareous","deposition",4.514650345
"QY077","BNPR","Non-calcareous","deposition",4.514650345
"QY077","BNPL","Non-calcareous","deposition",4.514650345
"QY077","BNPRLopt","Non-calcareous","deposition",1.77883373
"QY077","BNPRLopt(dep)","Non-calcareous","deposition",1.77883373
"QY077","BAU","Non-calcareous","manure",0
"QY077","BNP","Non-calcareous","manure",0
"QY077","BNPR","Non-calcareous","manure",0
"QY077","BNPL","Non-calcareous","manure",0
"QY077","BNPRLopt","Non-calcareous","manure",0
"QY077","BNPRLopt(dep)","Non-calcareous","manure",0
"QY077","BAU","Non-calcareous","irrigation",1.3182508
"QY077","BNP","Non-calcareous","irrigation",1.3182508
"QY077","BNPR","Non-calcareous","irrigation",1.3182508
"QY077","BNPL","Non-calcareous","irrigation",1.3182508
"QY077","BNPRLopt","Non-calcareous","irrigation",1.3182508
"QY077","BNPRLopt(dep)","Non-calcareous","irrigation",1.3182508
"QY077","BAU","Non-calcareous","fertilizer",0.779631405
"QY077","BNP","Non-calcareous","fertilizer",0.384882844
"QY077","BNPR","Non-calcareous","fertilizer",0.376215018
"QY077","BNPL","Non-calcareous","fertilizer",0.384882844
"QY077","BNPRLopt","Non-calcareous","fertilizer",0.376215018
"QY077","BNPRLopt(dep)","Non-calcareous","fertilizer",0.376215018
"QY077","BAU","Non-calcareous","total input",6.61253255
"QY077","BNP","Non-calcareous","total input",6.217783989
"QY077","BNPR","Non-calcareous","total input",6.209116163
"QY077","BNPL","Non-calcareous","total input",6.217783989
"QY077","BNPRLopt","Non-calcareous","total input",3.473299548
"QY077","BNPRLopt(dep)","Non-calcareous","total input",3.473299548
"QY077","Critical input","Non-calcareous","total input",3.70554045493561
"QY077","Critical input","Non-calcareous","critical input",3.70554045493561
"QY079","BAU","Calcareous","deposition",5.467858791
"QY079","BNP","Calcareous","deposition",5.467858791
"QY079","BNPR","Calcareous","deposition",5.467858791
"QY079","BNPL","Calcareous","deposition",5.467858791
"QY079","BNPRLopt","Calcareous","deposition",3.793881119
"QY079","BNPRLopt(dep)","Calcareous","deposition",3.793881119
"QY079","BAU","Calcareous","manure",0
"QY079","BNP","Calcareous","manure",0
"QY079","BNPR","Calcareous","manure",0
"QY079","BNPL","Calcareous","manure",0
"QY079","BNPRLopt","Calcareous","manure",0
"QY079","BNPRLopt(dep)","Calcareous","manure",0
"QY079","BAU","Calcareous","irrigation",1.15310596
"QY079","BNP","Calcareous","irrigation",1.15310596
"QY079","BNPR","Calcareous","irrigation",1.15310596
"QY079","BNPL","Calcareous","irrigation",1.15310596
"QY079","BNPRLopt","Calcareous","irrigation",1.15310596
"QY079","BNPRLopt(dep)","Calcareous","irrigation",1.15310596
"QY079","BAU","Calcareous","fertilizer",1.974991449
"QY079","BNP","Calcareous","fertilizer",0.789197362
"QY079","BNPR","Calcareous","fertilizer",0.779653014
"QY079","BNPL","Calcareous","fertilizer",0.789197362
"QY079","BNPRLopt","Calcareous","fertilizer",0.779653014
"QY079","BNPRLopt(dep)","Calcareous","fertilizer",0.779653014
"QY079","BAU","Calcareous","total input",8.5959562
"QY079","BNP","Calcareous","total input",7.410162113
"QY079","BNPR","Calcareous","total input",7.400617765
"QY079","BNPL","Calcareous","total input",7.410162113
"QY079","BNPRLopt","Calcareous","total input",5.726640093
"QY079","BNPRLopt(dep)","Calcareous","total input",5.726640093
"QY079","Critical input","Calcareous","total input",6.27747069894411
"QY079","Critical input","Calcareous","critical input",6.27747069894411
"QY081","BAU","Calcareous","deposition",5.519124508
"QY081","BNP","Calcareous","deposition",5.519124508
"QY081","BNPR","Calcareous","deposition",5.519124508
"QY081","BNPL","Calcareous","deposition",5.519124508
"QY081","BNPRLopt","Calcareous","deposition",5.519124508
"QY081","BNPRLopt(dep)","Calcareous","deposition",5.519124508
"QY081","BAU","Calcareous","manure",4.264872523
"QY081","BNP","Calcareous","manure",0
"QY081","BNPR","Calcareous","manure",0
"QY081","BNPL","Calcareous","manure",0
"QY081","BNPRLopt","Calcareous","manure",0
"QY081","BNPRLopt(dep)","Calcareous","manure",0
"QY081","BAU","Calcareous","irrigation",1.181994887
"QY081","BNP","Calcareous","irrigation",1.181994887
"QY081","BNPR","Calcareous","irrigation",1.181994887
"QY081","BNPL","Calcareous","irrigation",1.181994887
"QY081","BNPRLopt","Calcareous","irrigation",1.181994887
"QY081","BNPRLopt(dep)","Calcareous","irrigation",1.181994887
"QY081","BAU","Calcareous","fertilizer",1.862120294
"QY081","BNP","Calcareous","fertilizer",0.578117253
"QY081","BNPR","Calcareous","fertilizer",0.56594334
"QY081","BNPL","Calcareous","fertilizer",0.578117253
"QY081","BNPRLopt","Calcareous","fertilizer",0.56594334
"QY081","BNPRLopt(dep)","Calcareous","fertilizer",0.56594334
"QY081","BAU","Calcareous","total input",12.828112212
"QY081","BNP","Calcareous","total input",7.279236648
"QY081","BNPR","Calcareous","total input",7.267062735
"QY081","BNPL","Calcareous","total input",7.279236648
"QY081","BNPRLopt","Calcareous","total input",7.267062735
"QY081","BNPRLopt(dep)","Calcareous","total input",7.267062735
"QY081","Critical input","Calcareous","total input",7.90329734978907
"QY081","Critical input","Calcareous","critical input",7.90329734978907
"QY085","BAU","Non-calcareous","deposition",5.601294994
"QY085","BNP","Non-calcareous","deposition",5.601294994
"QY085","BNPR","Non-calcareous","deposition",5.601294994
"QY085","BNPL","Non-calcareous","deposition",5.601294994
"QY085","BNPRLopt","Non-calcareous","deposition",1.826682535
"QY085","BNPRLopt(dep)","Non-calcareous","deposition",0.338682535
"QY085","BAU","Non-calcareous","manure",0
"QY085","BNP","Non-calcareous","manure",0
"QY085","BNPR","Non-calcareous","manure",1.488
"QY085","BNPL","Non-calcareous","manure",0
"QY085","BNPRLopt","Non-calcareous","manure",0
"QY085","BNPRLopt(dep)","Non-calcareous","manure",1.488
"QY085","BAU","Non-calcareous","irrigation",1.17753158
"QY085","BNP","Non-calcareous","irrigation",1.17753158
"QY085","BNPR","Non-calcareous","irrigation",1.17753158
"QY085","BNPL","Non-calcareous","irrigation",1.17753158
"QY085","BNPRLopt","Non-calcareous","irrigation",1.17753158
"QY085","BNPRLopt(dep)","Non-calcareous","irrigation",1.17753158
"QY085","BAU","Non-calcareous","fertilizer",0.659221818
"QY085","BNP","Non-calcareous","fertilizer",0.423099054
"QY085","BNPR","Non-calcareous","fertilizer",0.299632005
"QY085","BNPL","Non-calcareous","fertilizer",0.423099054
"QY085","BNPRLopt","Non-calcareous","fertilizer",0.299632005
"QY085","BNPRLopt(dep)","Non-calcareous","fertilizer",0.299632005
"QY085","BAU","Non-calcareous","total input",7.438048392
"QY085","BNP","Non-calcareous","total input",7.201925628
"QY085","BNPR","Non-calcareous","total input",8.566458579
"QY085","BNPL","Non-calcareous","total input",7.201925628
"QY085","BNPRLopt","Non-calcareous","total input",3.30384612
"QY085","BNPRLopt(dep)","Non-calcareous","total input",3.30384612
"QY085","Critical input","Non-calcareous","total input",3.53403699916869
"QY085","Critical input","Non-calcareous","critical input",3.53403699916869
"QY087","BAU","Calcareous","deposition",5.524769306
"QY087","BNP","Calcareous","deposition",5.524769306
"QY087","BNPR","Calcareous","deposition",5.524769306
"QY087","BNPL","Calcareous","deposition",5.524769306
"QY087","BNPRLopt","Calcareous","deposition",3.660234365
"QY087","BNPRLopt(dep)","Calcareous","deposition",1.764735466
"QY087","BAU","Calcareous","manure",1.895498899
"QY087","BNP","Calcareous","manure",1.895498899
"QY087","BNPR","Calcareous","manure",1.895498899
"QY087","BNPL","Calcareous","manure",1.895498899
"QY087","BNPRLopt","Calcareous","manure",0
"QY087","BNPRLopt(dep)","Calcareous","manure",1.895498899
"QY087","BAU","Calcareous","irrigation",1.18527533
"QY087","BNP","Calcareous","irrigation",1.18527533
"QY087","BNPR","Calcareous","irrigation",1.18527533
"QY087","BNPL","Calcareous","irrigation",1.18527533
"QY087","BNPRLopt","Calcareous","irrigation",1.18527533
"QY087","BNPRLopt(dep)","Calcareous","irrigation",1.18527533
"QY087","BAU","Calcareous","fertilizer",1.522640832
"QY087","BNP","Calcareous","fertilizer",0.429840251
"QY087","BNPR","Calcareous","fertilizer",0.34960375
"QY087","BNPL","Calcareous","fertilizer",0.429840251
"QY087","BNPRLopt","Calcareous","fertilizer",0.34960375
"QY087","BNPRLopt(dep)","Calcareous","fertilizer",0.34960375
"QY087","BAU","Calcareous","total input",10.128184367
"QY087","BNP","Calcareous","total input",9.035383786
"QY087","BNPR","Calcareous","total input",8.955147285
"QY087","BNPL","Calcareous","total input",9.035383786
"QY087","BNPRLopt","Calcareous","total input",5.195113445
"QY087","BNPRLopt(dep)","Calcareous","total input",5.195113445
"QY087","Critical input","Calcareous","total input",5.63524542528867
"QY087","Critical input","Calcareous","critical input",5.63524542528867
"QY090","BAU","Calcareous","deposition",4.968757629
"QY090","BNP","Calcareous","deposition",4.968757629
"QY090","BNPR","Calcareous","deposition",4.968757629
"QY090","BNPL","Calcareous","deposition",4.968757629
"QY090","BNPRLopt","Calcareous","deposition",3.733491996
"QY090","BNPRLopt(dep)","Calcareous","deposition",2.319891996
"QY090","BAU","Calcareous","manure",0
"QY090","BNP","Calcareous","manure",0
"QY090","BNPR","Calcareous","manure",1.4136
"QY090","BNPL","Calcareous","manure",0
"QY090","BNPRLopt","Calcareous","manure",0
"QY090","BNPRLopt(dep)","Calcareous","manure",1.4136
"QY090","BAU","Calcareous","irrigation",1.183341835
"QY090","BNP","Calcareous","irrigation",1.183341835
"QY090","BNPR","Calcareous","irrigation",1.183341835
"QY090","BNPL","Calcareous","irrigation",1.183341835
"QY090","BNPRLopt","Calcareous","irrigation",1.183341835
"QY090","BNPRLopt(dep)","Calcareous","irrigation",1.183341835
"QY090","BAU","Calcareous","fertilizer",0.730084739
"QY090","BNP","Calcareous","fertilizer",0.371663
"QY090","BNPR","Calcareous","fertilizer",0.25327312
"QY090","BNPL","Calcareous","fertilizer",0.371663
"QY090","BNPRLopt","Calcareous","fertilizer",0.25327312
"QY090","BNPRLopt(dep)","Calcareous","fertilizer",0.25327312
"QY090","BAU","Calcareous","total input",6.882184203
"QY090","BNP","Calcareous","total input",6.523762464
"QY090","BNPR","Calcareous","total input",7.818972584
"QY090","BNPL","Calcareous","total input",6.523762464
"QY090","BNPRLopt","Calcareous","total input",5.170106951
"QY090","BNPRLopt(dep)","Calcareous","total input",5.170106951
"QY090","Critical input","Calcareous","total input",5.51994709023821
"QY090","Critical input","Calcareous","critical input",5.51994709023821
"QY094","BAU","Calcareous","deposition",4.391344547
"QY094","BNP","Calcareous","deposition",4.391344547
"QY094","BNPR","Calcareous","deposition",4.391344547
"QY094","BNPL","Calcareous","deposition",4.391344547
"QY094","BNPRLopt","Calcareous","deposition",4.391344547
"QY094","BNPRLopt(dep)","Calcareous","deposition",3.691363053
"QY094","BAU","Calcareous","manure",0
"QY094","BNP","Calcareous","manure",0
"QY094","BNPR","Calcareous","manure",1.178
"QY094","BNPL","Calcareous","manure",0
"QY094","BNPRLopt","Calcareous","manure",0.478018506
"QY094","BNPRLopt(dep)","Calcareous","manure",1.178
"QY094","BAU","Calcareous","irrigation",1.180771099
"QY094","BNP","Calcareous","irrigation",1.180771099
"QY094","BNPR","Calcareous","irrigation",1.180771099
"QY094","BNPL","Calcareous","irrigation",1.180771099
"QY094","BNPRLopt","Calcareous","irrigation",1.180771099
"QY094","BNPRLopt(dep)","Calcareous","irrigation",1.180771099
"QY094","BAU","Calcareous","fertilizer",0.410342383
"QY094","BNP","Calcareous","fertilizer",0.196421944
"QY094","BNPR","Calcareous","fertilizer",0.09498629
"QY094","BNPL","Calcareous","fertilizer",0.196421944
"QY094","BNPRLopt","Calcareous","fertilizer",0.09498629
